GENE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL13,79.85535372124507,8.518010810816572,2.3688017883874957,3.595915391728491,3.2325285879109797e-4,0.018058411585096676
COL6A3,394.68890680484077,6.92096493129944,1.4010820949575238,4.939728340122183,7.823148458371327e-7,3.5227874573150886e-4
IL17F,6.757577465140353,4.715695877693459,1.5087602847045636,3.125543484607867,0.0017747682850441945,0.057084538345793794
IGHV3-15,19.765269051122477,4.603165550714512,1.36281945687364,3.3776781858356717,7.310057538690235e-4,0.031395218215299676
TNFRSF8,419.2634769326193,4.474046647314961,1.4573837018578821,3.069916756727427,0.002141184406104326,0.06376352760462983
BCAT1,1260.1501138013584,4.310135536623214,1.0646183980328834,4.048526255592743,5.154115298098937e-5,0.005072195584751669
ENPP2,18.078650248162397,4.289773964057268,0.917017920646466,4.6779608854678925,2.8974179708633753e-6,7.822611897129862e-4
IGLV2-8,17.12326267935463,4.20975859795615,1.286685525440903,3.271785152408247,0.0010687075592450007,0.040001408054853534
NAPSB,397.03736927502445,3.9773592924597505,0.897402714402944,4.432078517954952,9.332901686158493e-6,0.0016913038909306733
JCHAIN,124.15345710147578,3.975546131726306,0.790444296268143,5.029508278440001,4.917392714257832e-7,2.6097305619239775e-4
SAXO2,29.986894088101607,3.8840891745745854,1.027245744884042,3.7810710766322337,1.561550798358387e-4,0.01059572824822175
TIMP1,2331.1992655250538,3.882405995539866,1.1001111529572327,3.5291033866018773,4.1697019795973597e-4,0.021219784731786564
DTX1,178.64573108136048,3.846432317199877,1.010142426530948,3.8078118651142834,1.4020186954259503e-4,0.009910770068982623
IGFBP4,106.84272509470901,3.828733888427244,1.2566330160603643,3.0468194289774453,0.0023127659857805826,0.06752004429999893
COL5A3,1882.6565738313036,3.712813955054288,1.1271045667739792,3.2941166813662877,9.873150488695704e-4,0.038427929205203375
IGKV1D-39,13.810503405127655,3.6170634614986015,0.8512123559867355,4.249307985321311,2.14431927534879e-5,0.0029886512144249354
WNT5B,43.053417788172645,3.52082480772363,1.0595172701576743,3.3230461710167982,8.904017556287845e-4,0.036052779533089205
FCRL5,30.465436848183824,3.326362921010324,1.096968236849198,3.03232382604311,0.0024267870922706986,0.06988770579678795
IGHG2,157.6853341915978,3.2932342450246757,0.6067306975695087,5.427835212915684,5.704166680018121e-8,1.2109130980724181e-4
IGLL5,53.45082163540858,3.1585102074811138,0.7208521086440567,4.3816341377184305,1.1779248849353186e-5,0.0019008608127712588
IGHV4-39,9.937592468796057,3.1361461834490405,1.0054781310970242,3.119059566245719,0.0018142927899496971,0.058104290643647624
IGHA1,155.4716785121216,3.087913079475888,0.7613243906841395,4.0559755043458345,4.99254919621263e-5,0.004950447972869128
IGHM,2306.6147380290045,3.084796925864649,0.8883561481263252,3.4724777133258353,5.156778261423639e-4,0.024097397787658893
RHEX,12.920796353927413,3.0828045101438737,1.0615750453658832,2.903991124886844,0.0036843860406749755,0.09124996094071688
SOX4,71.46633197916131,3.014114927315111,0.6523472663926635,4.620414743181959,3.82973696534264e-6,9.312366089494653e-4
IGHA2,53.376452577779396,2.9925943486546918,0.7600897816343903,3.9371590316868055,8.245196678553451e-5,0.006658892534962189
IGKV4-1,53.97999050507559,2.9733601649737746,0.7072166594705942,4.204312957219591,2.6187639075793846e-5,0.0033122197194799057
IGKC,847.2224943616505,2.9257727776100206,0.8125128130627616,3.600894325076967,3.171244619650105e-4,0.01791813499923976
