GENE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADAM28,18.310884165426277,2.9765600889172004,0.9527675595450344,3.124119895873205,0.0017833777233734673,0.025239895175673203
SLC12A3,9.161461952627644,2.9601743478392226,1.0386962553008139,2.849894117488596,0.004373378541037098,0.04525043651220143
CDK14,32.86751947548346,2.9540142351575485,0.7500533882380115,3.9384052941844225,8.202495780993614e-5,0.0024121724785458884
COL6A1,79.198706797664,2.9374023009418737,0.8629966863090454,3.4037237309738275,6.647394955570572e-4,0.012121571157229134
IGKV1-39,11.672821599618224,2.916123152015035,0.9842487700758342,2.9627907503408455,0.0030486373757326575,0.03539724512875353
MIAT,3586.1967327692287,2.8978699869312505,0.8431369922298243,3.43700965992172,5.881746260563e-4,0.011194819706278464
IGLC3,77.61505425906651,2.8823000735502995,0.6065892595977843,4.751650359687357,2.017630400098068e-6,1.1964881765209657e-4
SOX4,71.46633197916131,2.8351124092637225,0.644348990969279,4.399964070711013,1.0826880287606622e-5,4.6797834640176976e-4
DENND5B,29.474880246070928,2.8178618207979405,0.9370888985019031,3.0070378864831016,0.0026380688205251464,0.03238573622186174
TBC1D9,69.7811675000258,2.8024119823445255,0.8285100624648517,3.382471872468554,7.183663392746522e-4,0.012743232799666916
EBF1,25.145982777885504,2.7821079888018385,0.9186077134128753,3.0286137903910664,0.0024567853560909605,0.030685227715632177
LRRK2,87.12370465080478,2.7784553281865163,0.8911573642183509,3.1178054962532302,0.0018220300531092048,0.02558508149918806
BANK1,101.20266357270918,2.752946614016509,0.7269862695664532,3.7867931338761887,1.5260404378697332e-4,0.003974629096890842
IQSEC3,18.75255059727012,2.6927441528408553,0.7645142587719568,3.522163415455749,4.280402012256833e-4,0.008828599544066448
ZC3H12D,362.20127790533274,2.670781653045569,0.8778524804607742,3.0424037210029957,0.002346968836721056,0.02984626876851892
TRBV6-5,22.716135608488745,2.663920298552263,0.8430375272224889,3.1599071364342937,0.0015781943142439607,0.022900572905677534
PRKAR2B,32.562028423336976,2.6366903793355836,0.6407504918468974,4.115003285811915,3.87173899334617e-5,0.0013519057492338417
KBTBD11,39.044847452374064,2.555938238199102,0.7227887410122584,3.5362175600847574,4.05900270608327e-4,0.008528660005124597
NOXA1,30.206997430591144,2.536166053356539,0.6431781562343626,3.9431781517660953,8.04088782121478e-5,0.0023743782123920435
DMKN,20.4001960055678,2.5336939974683985,0.8184385290602489,3.095765787538922,0.0019630535168616405,0.026804739315396196
IGLV2-14,39.118917059956665,2.523665722710018,0.8974859258837594,2.8119279087579563,0.004924553924408955,0.04894201756869315
TCF4,197.81716267444702,2.4769094270507472,0.7689379886686336,3.2212082944937546,0.0012765133609973815,0.01978320004716352
PALLD,23.20601593871768,2.4751087297290697,0.8136445579687817,3.0420024388881073,0.002350099903032986,0.02984626876851892
SYK,200.78338584894288,2.440006754142937,0.6424124496236918,3.798193443436889,1.4575455352678027e-4,0.0038354674927226105
CCR6,170.42595430808433,2.4206819406070634,0.6333609632055408,3.821962642527898,1.3239374976644448e-4,0.0035758417872494503
AIM2,225.65666009535548,2.3996409713583624,0.5369478803152129,4.46903891295681,7.857183716434052e-6,3.6140526767482396e-4
FLVCR2,191.8306484539842,2.392101791124684,0.7729062930757997,3.0949441252512715,0.001968499766347635,0.02685355527267577
CD7,2603.4624297365253,2.365157696238937,0.5333768082819338,4.434309215388224,9.236797446713929e-6,4.142415004930987e-4
CLU,75.74457636288024,2.3542650227711333,0.7800685895836205,3.018023099773542,0.002544295098695974,0.03147687841498786
GPR183,512.4428975560812,2.338439530513951,0.4939738413761343,4.73393393463796,2.20209430129643e-6,1.279713409182895e-4
NME4,31.58203247614456,2.3301986218123116,0.7342805931800496,3.173444380057222,0.0015064176183567338,0.022107769045909387
ATP9A,152.64330151982037,2.316398463817273,0.5745823260923909,4.031447468234176,5.543438783038422e-5,0.0017678642216752089
POU2AF1,46.113657614724524,2.292180256102579,0.7923175577635146,2.8930070192723565,0.003815727695631283,0.04138761236885499
FCGRT,130.9068140329869,2.2858114176042905,0.6300559690617588,3.62794978517255,2.856808049451238e-4,0.006538764324987993
LGMN,20.330076652453553,2.259889520031433,0.633298689601403,3.5684418065886145,3.5911059164502073e-4,0.007749768572477733
PDCD1LG2,67.83885871845821,2.24288016686317,0.7468359326470824,3.0031765596943285,0.0026717737821679273,0.032662544223919544
AMOT,30.12623808856593,2.201660839337777,0.6158168561564524,3.575187683362844,3.49976740624011e-4,0.007633003350600581
SPIB,118.48100170686085,2.1858596210429386,0.4999752332259702,4.371935799577919,1.231497417300445e-5,5.176493294391926e-4
RUBCNL,213.20642409370654,2.1856240076137765,0.47917346931368,4.561237521652117,5.085301656389674e-6,2.482284492205721e-4
TFEC,84.38191980261449,2.1778849902148605,0.7326185657506706,2.9727406484482297,0.0029515373325516322,0.03470222353061191
LRRK1,17.07976999839015,2.1555330060939246,0.6935007033541396,3.1081915211745517,0.0018823604044057027,0.02604990758305327
CD79A,132.44695800483547,2.111109018722243,0.5290358469676631,3.9904838789710273,6.593863116015436e-5,0.002013372969743352
SUSD3,151.47231286162142,2.0867773400216776,0.5915362624042997,3.527725133096607,4.191471556774245e-4,0.00873030599582978
CD8B,71.91306035565755,2.0750051046546742,0.7013370779229018,2.9586416717052284,0.0030899817164691283,0.03584828424660345
IFITM3,119.26956451967652,2.0437426763868762,0.5305370583805061,3.8522147399571187,1.1705430100918047e-4,0.003293816223103429
RALGPS2,148.60870860143822,2.036472806037423,0.5942583747277225,3.4269147775502447,6.104806317522058e-4,0.011454010147171467
CD19,43.4306576689379,2.0196883194381217,0.6083114513920875,3.320155020616783,8.99674752800282e-4,0.015083215394201923
FNDC9,60.79967496170951,2.009620515277156,0.7142723658390668,2.8135212999825683,0.0049002139655309335,0.04880150632847635
COL6A2,797.1657614969084,2.005539400886727,0.4291482610694919,4.6733019397274695,2.963955271743179e-6,1.5990872971724196e-4
PRKAR1B-AS1,99.4795753293481,1.9825172597979932,0.39896017175653953,4.9692109642658755,6.722589761928173e-7,4.706140764557619e-5
CADM1,430.3244540896758,1.976096284198499,0.5468142667872755,3.613834539849799,3.0170163700717783e-4,0.00681845699636222
TSPAN9,15.494165718357168,1.9733808823558228,0.683936416344879,2.8853279854610543,0.003910060715255277,0.0420324204678865
ADGRG1,727.567720796406,1.957726011988182,0.5959581001059518,3.2850061298606894,0.0010198015294010593,0.016555624149812896
SLC12A7,217.85386807513603,1.9436411022733926,0.6323655949840299,3.073603494071303,0.0021149031642286433,0.028162052584203866
KLRF1,64.58335241034341,1.9398206888066227,0.6905754028024402,2.8089918652396118,0.004969690231095861,0.04925416057075739
C9orf72,103.66815913776655,1.9385780286154815,0.6033950752753885,3.2127839752929996,0.0013145512283072138,0.020176603933087515
DST,43.422827036199834,1.9383303140100514,0.5880315936595955,3.2963030131543034,9.79662895626495e-4,0.01608597507452612
TRAM2,89.66797831432886,1.9287528900084716,0.5704493381668431,3.3811116272070363,7.219320808014348e-4,0.012774904181974588
SGSH,190.21992923356186,1.922559928453624,0.4902257201164372,3.9217851074745367,8.789536536628159e-5,0.002558593079861069
BCAR3,39.4727493532217,1.8987093978673406,0.64794466486755,2.9303573295961414,0.0033857242590912477,0.0379597881579832
COBLL1,54.624261039930445,1.8768911709064928,0.6362289061551774,2.9500249874668785,0.003177482301062306,0.036471257174197864
STOM,5661.657217843403,1.8442508724866111,0.410187061060283,4.496121520068063,6.920419461984674e-6,0.00032669388058862515
TRIM17,66.72357064736342,1.8271369779212816,0.46502469082674214,3.929118203751534,8.525792549956333e-5,0.0024970132425392515
CACNA2D2,182.83494831308982,1.825691192396339,0.48071017369275576,3.797904209872669,1.459246917306491e-4,0.0038354674927226105
ABCB4,15.438178259505213,1.8196165731739595,0.6262849916537245,2.9054130266944553,0.0036676876432039126,0.04034764832644494
GZMM,550.9317043833188,1.8109117455317372,0.4602377017055816,3.9347314199178633,8.328978262678563e-5,0.0024443592443292445
SSTR3,34.73355875635411,1.8070200832283223,0.5179333418099092,3.4889047245225058,4.8500398473377853e-4,0.009775691270947268
ACP5,447.2954186819161,1.796833106742683,0.48364572374302434,3.7151845215060666,2.030554630242758e-4,0.0049558655609887444
TOGARAM2,151.38479133288467,1.7928775800026266,0.5827286433453668,3.0766937587106713,0.0020931021937735713,0.027994510328839258
MICU3,23.05024521492958,1.7914563018031455,0.5606914672602863,3.195083939045409,0.0013979017738128792,0.020940802041741785
SOCS3,2162.141455404258,1.7904870689539503,0.4958618606867345,3.610858609843978,3.051850100211574e-4,0.006875025915418657
NCKAP5L,159.1052620907462,1.788412776227063,0.50562739276611,3.5370171826397385,4.046733376221007e-4,0.008515347607353032
TTC22,127.57319329782287,1.7868719544672491,0.5838928668206225,3.0602736495087095,0.0022113484182701808,0.02891858826724772
GLTPD2,28.397034163787612,1.7576337710883994,0.5647363008453676,3.112308821758676,0.0018563020157180623,0.02586387400734943
ETNK2,78.22897208726968,1.7415584735349094,0.5565662907553641,3.129112385105627,0.0017533523313388649,0.02486399141012258
IFNGR2,43.416348818455184,1.7407215218652652,0.6172920359484881,2.8199319292862626,0.004803383775108551,0.04820996148439977
PTPN13,23.468335841400418,1.7397737035671084,0.6140352344701134,2.833345068656296,0.004606363134387488,0.046950225384655424
CLEC17A,64.45211043002993,1.7311612332587551,0.5986344677659972,2.8918502466440947,0.00382980447447429,0.041480395481645685
TNFSF14,1488.8375783385375,1.726824120432549,0.4715010231482726,3.6623973982120415,2.4986584114804146e-4,0.005859190663914286
ANKDD1A,68.04156001940986,1.7267992444714775,0.6049832615310388,2.8542925966272934,0.004313278516509785,0.04472533236302884
GORASP1,174.96015701956696,1.6991627887906189,0.4297975374543064,3.953402801827975,7.704757046900891e-5,0.0022940034933625454
PPP1R3B,450.5278367527703,1.6934877071312033,0.5080617587722213,3.333231989795246,8.584333192194769e-4,0.014476353189328689
KCNA6,31.181499602131137,1.6624409423572564,0.5448682914977083,3.0510877000891665,0.0022801396385942856,0.029437955430296443
TANC2,138.177410948913,1.6365969593769798,0.48787557563984923,3.3545375933824553,7.949775031991549e-4,0.013630492411482762
PFKFB3,1667.8834993818355,1.6344106471366182,0.4569823493224456,3.576529048791296,3.481866408562562e-4,0.0076171135410489825
SLC26A11,419.43209566137165,1.6223447140474303,0.49713086344077256,3.263415799250038,0.00110077888446466,0.01757205536257212
TJP2,147.34111799706503,1.618041405236635,0.29162376293579684,5.54838669163205,2.883176414495528e-8,3.3639402214979937e-6
TLE2,100.22209628722958,1.6162751000062676,0.4779419055959419,3.3817396656000422,7.202837050372953e-4,0.012761470927148424
ZFP36,1023.0770927049265,1.606552545702295,0.32543518687846845,4.936628276469229,7.948476396242185e-7,5.457827022127828e-5
GGT7,103.11774113170777,1.6000878068931805,0.41392405815851313,3.8656554876557174,1.1079123810989311e-4,0.0031394883231698483
ZNF295-AS1,22.601426847867003,1.597339499616725,0.5568272552784416,2.8686446011303364,0.004122347161837158,0.04340411160640136
SELENOM,207.97582097762913,1.5919692026882906,0.38096399981620094,4.178791705925884,2.9306193452764638e-5,0.0010723192783023707
CEBPD,870.5828050018386,1.5696874443133484,0.46076420287180425,3.406704415251793,6.575229289225732e-4,0.012020524271296622
PMEPA1,182.88397217851164,1.5652243178227854,0.48155624265125996,3.250345814655571,0.0011526475240143514,0.018197628841727126
PDZD4,175.36730018833703,1.5578168766667078,0.40673567312200276,3.8300473246157374,1.2811861693896504e-4,0.0035061595688821627
RAP1GAP2,129.01994649849098,1.5524125060621787,0.44828565716685714,3.4629983833820335,5.341916048837452e-4,0.010501621536557025
CYP4V2,201.9583106323744,1.5491016545915395,0.48924930962258933,3.166282760391687,0.001544006259252017,0.022564189232714558
CCR7,1283.0068567673413,1.538578845340113,0.43466429496077286,3.539694571597985,4.0059035293922297e-4,0.008487199079637828
CAMKK1,59.50138860378642,1.536826816527918,0.49973042161960707,3.0753117081548114,0.0021028265773114603,0.028098383809121753
PAX5,154.27044800228808,1.5115400066405957,0.4481761147273518,3.3726473967943202,7.444922620224573e-4,0.013013652195230554
CYTH3,556.8995709089425,1.5081807940922796,0.4199484262456119,3.5913476508903543,3.2897246103328145e-4,0.007263205828136342
ABCD2,1025.6318787552473,1.506050684087882,0.5132181261591453,2.934523562834697,0.0033406018831318956,0.037600766764569284
ZFYVE28,345.00427040456924,1.5053409300300176,0.41755021514933577,3.6051734028963107,3.1194457062711395e-4,0.006973078711946593
ZNF517,65.63893335364972,1.501455381751739,0.43938818255329315,3.417150122305869,6.328037467929667e-4,0.011733031744477863
IFITM2,856.4154336436623,1.4831388987118006,0.36931296178412754,4.015940549573052,5.920918128004651e-5,0.0018593237648795351
LAMA2,67.9980195227517,1.4824707897444405,0.5262962000259319,2.8167993416471475,0.004850481925123535,0.04850819937801244
FAM83G,204.55442999648503,1.4775908284972474,0.39456510217342905,3.7448593916645474,1.8049483357798283e-4,0.004544353257329178
DNAAF9,160.75884947899883,1.4759882293684545,0.44572425472592764,3.311437988215445,9.281780906920342e-4,0.01543485953594598
ZSWIM1,96.79299704670636,1.4631581516896242,0.5035182988978119,2.9058688728740116,0.003662348904248901,0.04033643064073368
CXCR5,131.34158701386755,1.4611816891706044,0.46517437555058344,3.1411482789462344,0.0016828680689638521,0.024078603846161756
RIPOR3,55.71469200514942,1.455966244160194,0.49708245457589195,2.9290236071647637,0.003400285965313955,0.03803390794093575
NUAK2,131.68503840860907,1.4541379920517192,0.5032386150913067,2.889559641181118,0.0038578181884493723,0.04165805028023848
SMIM14,268.8219069333148,1.4524255390964331,0.505806240372241,2.871505772699722,0.004085213206609623,0.04323517310328518
STMN3,194.03348385057305,1.4474609332411454,0.5042224238418676,2.87067941606479,0.0040959068442593645,0.043237661390796635
DTNB,164.67291912142335,1.4470668961913653,0.3132819582639022,4.619055959080753,3.854898933881361e-6,1.9899875755442954e-4
ACVR1,216.12352977686314,1.4347850008334753,0.4882217312763063,2.938797904555926,0.003294878414410033,0.03726697380638164
SECTM1,95.47095077338595,1.4334137333846744,0.48225939946606755,2.972287808120848,0.002955894524846218,0.03470222353061191
OASL,1197.2995528539197,1.4270591940973052,0.3681454554151426,3.8763460830667293,1.0603683384683677e-4,0.003019314687571338
TRIB2,462.78483758396777,1.4243664415753998,0.46087632153321023,3.090561122421998,0.0019977868167653707,0.027098524203591524
PLAAT4,2243.051883439653,1.4202597897210738,0.42130336085265757,3.371109565436819,7.486607605973202e-4,0.013054715158362264
SNX30,246.82545391730523,1.408674015197143,0.43879363951223527,3.2103337157827325,0.0013258095221630197,0.020305968465914082
JMJD7,85.58078005999515,1.389477869315225,0.4067042562731962,3.416433066247206,6.344725896716424e-4,0.011743439804836274
IFITM1,1795.7334014338758,1.3663369681823425,0.28867871194831707,4.733071444585638,2.211476032871284e-6,1.279713409182895e-4
DNAH17,80.69056217041927,1.361498685526738,0.4545986868264766,2.9949463669401917,0.002744931021921373,0.03324262033383428
TNKS1BP1,215.1030769900452,1.3613923276090594,0.3446530322179477,3.9500372848835346,7.813902009962373e-5,0.002316886523656405
IER5L,145.5613122296226,1.3533117005053477,0.45936308241744733,2.946061083932562,0.003218488341027352,0.036715839572403444
RBM44,33.08764789459793,1.350408383369553,0.42311559290051465,3.191582645565768,0.0014149562436900742,0.02106435378962267
FCRL3,832.7591225484402,1.3410094388299776,0.410804200464675,3.2643518184894775,0.0010971483630728756,0.01756520375674009
CD27,419.77760080433495,1.3383205797429825,0.43048765979078985,3.108847720265396,0.0018781849386028651,0.02604990758305327
PKIG,81.11833255050018,1.3377396898285612,0.3815112122230188,3.506423001394158,4.541728192407195e-4,0.009258287114948248
NCR1,190.54032906052498,1.3371758387994341,0.4649260651685258,2.8761042646957993,0.004026166952661298,0.04283137282256656
CSF2RB,167.81175144009333,1.3333493118220447,0.45625077964119165,2.922404456756497,0.0034734016898267535,0.038730992735589546
IFFO2,1574.4073301932424,1.3328574454368807,0.4200083790024752,3.1734067986987133,0.0015066126490766761,0.022107769045909387
ZCCHC24,65.41434024159139,1.3247100781168624,0.37571338067246784,3.5258528076531097,4.221215088288727e-4,0.008779515613337903
AHNAK,11918.490894939236,1.3203430148676227,0.4587067727338077,2.8784031397631695,0.003996940009415405,0.04261115743142172
HVCN1,197.32087413855825,1.3161429154911304,0.44137812544874927,2.981894297894821,0.002864708880127965,0.0341173752188518
SBNO2,3561.148001363644,1.3097200544904932,0.386725338877755,3.3866931458155616,7.074046200583887e-4,0.012618381368508961
GLIPR2,626.8579993813206,1.3090925323946085,0.38555932188635705,3.395307694779226,6.855151220625761e-4,0.012328104657543897
RGS14,763.7514147526539,1.3030796835910525,0.3856007294458308,3.3793496331393977,7.265754112559099e-4,0.01280968516822305
CPQ,158.3324083649314,1.3024170111517444,0.40671988972949313,3.2022456831849895,0.0013636064533877794,0.020599069697440024
JHY,168.88252388280065,1.3022599342670282,0.2997306425502753,4.3447674324742875,1.3942329511491683e-5,5.733133834367254e-4
CBX7,946.1088371234545,1.2990406093452078,0.382999051558844,3.3917593374134585,6.944540830639877e-4,0.012457638182564108
CD244,414.13147564705923,1.296639211894262,0.4034260591540774,3.214069052983626,0.0013086819671206179,0.020129576538207915
ISG20,948.1706787639505,1.2929243591474184,0.339824598776237,3.8046814851056894,1.4198677770292247e-4,0.0037734300866937784
TRAJ44,63.235941255704056,1.2833315626309842,0.4344213393296566,2.9541172277845678,0.0031356486957152536,0.03620248948689429
AGRN,544.4824893702659,1.2722004831868263,0.45130776554925855,2.8189199927426696,0.0048185526968571694,0.04828983921270757
CIB2,33.955317945001774,1.2654911915887181,0.41281192107164094,3.065539358222894,0.002172777783530841,0.028565467891487478
FBXW8,146.53270183594063,1.2479675796218876,0.33252005654816974,3.7530595675244744,1.7468932330869439e-4,0.004468745951520629
CDC14B,97.6699990376243,1.234533832618816,0.37627947849493043,3.2808959913434363,0.001034778948987828,0.016751777049260293
KLHDC7B,221.43739184609998,1.232535364626356,0.43444497456092895,2.837034461894779,0.0045534696889684674,0.046510208901342685
